GEN_BLD_YRS_1,GEN_BLD_YRS_2,BuildGen
CASO_conventional_hydroelectric_1,1952,75.0
CASO_conventional_hydroelectric_1,1953,36.5
CASO_conventional_hydroelectric_1,1960,190.0
CASO_conventional_hydroelectric_1,1972,108.5
CASO_conventional_hydroelectric_1,1976,57.0
CASO_conventional_hydroelectric_1,1980,36.5
CASO_conventional_hydroelectric_1,1982,38.0
CASO_conventional_hydroelectric_1,1983,65.0
CASO_conventional_hydroelectric_1,1987,27.0
CASO_conventional_hydroelectric_1,1992,74.0
CASO_conventional_hydroelectric_1,1993,1.8
CASO_conventional_hydroelectric_1,1994,74.0
CASO_conventional_hydroelectric_1,1996,32.400000000000006
CASO_conventional_hydroelectric_1,2023,3.3
CASO_geothermal_1,1984,10.0
CASO_geothermal_1,1987,27.5
CASO_geothermal_1,1988,108.80000000000001
CASO_geothermal_1,1989,114.7
